Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armenia,0,-11.69999848,-41.80000274,-8.799998794,5.400002777,6.899998417,5.865400753,3.321079697,7.299999988,3.300000004,5.899999999,9.556641504,13.18630053,14.04079505,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.3,3.6,3.2,0.2,7.5
Bolivia,4.63578591,5.266527472,1.646496933,4.269293696,4.667270435,4.678272586,4.361343058,4.954208743,5.029352337,0.426889577,2.507807553,1.683800939,2.485564847,2.711340707,4.173294318,4.421434767,4.797009171,4.564382752,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404,4.195207019
Brazil,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.20213138,3.961988723,6.069870607,5.094195447,-0.125812,7.52822583,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.305454313,1.06386126
Canada,0.154346036,-2.125692233,0.882976026,2.655235883,4.493474619,2.677708436,1.611048031,4.279812433,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.475001859,2.855739204,1.000882494,1.414102746,3.047350681
Ecuador,3.679914053,4.291342398,2.114310675,1.973218079,4.258250468,2.252548774,1.731747514,4.327864764,3.266529404,-4.739385791,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.226383985,2.368386526
Spain,3.781393465,2.546000568,0.929215429,-1.031491775,2.383195316,2.757494033,2.674783588,3.689613998,4.305978447,4.48477443,5.289099595,4.001073835,2.879876097,3.187571476,3.166746501,3.723001788,4.174123186,3.768992408,1.11768686,-3.573751449,0.014063878,-0.998764958,-2.927750507,-1.705705,1.379997238,3.644680152,3.17258966,2.979182401
Finland,0.675783494,-5.914425874,-3.32462938,-0.734493304,3.93926095,4.207130673,3.658833063,6.251807841,5.428512567,4.444134273,5.634847452,2.580792075,1.680325089,1.993984087,3.926057175,2.779955031,4.055197444,5.184800809,0.720668487,-8.269036558,2.992337502,2.570817745,-1.42618936,-0.758036295,-0.631728091,0.50066201,2.77192552,2.65252953
France,2.914009698,1.03910533,1.599671216,-0.612652837,2.345385598,2.085084531,1.38800403,2.337333406,3.556201255,3.407099148,3.875162259,1.954449424,1.118456891,0.819531669,2.786424111,1.607713814,2.3749469,2.361498874,0.195294767,-2.941341058,1.965657376,2.192700651,0.313134744,0.576326679,0.956183042,1.112912342,1.171050152,2.161158086
United Kingdom,0.731800512,-1.086543253,0.373976459,2.526924879,3.880038517,2.469734452,2.538654447,4.038248414,3.137808431,3.216724592,3.66412896,2.544130573,2.457877617,3.325909315,2.364455337,3.096088937,2.455999651,2.35670823,-0.472540317,-4.187759438,2.183040813,1.644770017,1.447060443,2.046355153,2.947560564,2.349121443,1.789236055,1.822927774
Greece,0,3.099999982,0.700000012,-1.600000003,2.000000007,2.099719767,2.862128846,4.484199148,3.894904772,3.072596664,3.919770772,4.131612076,3.922871842,5.794531264,5.060992565,0.599142055,5.65243372,3.273746857,-0.335172557,-4.300733667,-5.479037108,-9.132494153,-7.300493935,-3.241425025,0.739777123,-0.437833918,-0.190952277,1.505099308
Ireland,8.466527935,1.929639555,3.343274279,2.692609194,5.755827009,9.634422304,7.809274792,10.28995051,8.500199853,10.61785231,9.559889223,5.803637383,6.309274147,3.119509103,6.681227602,6.006383302,5.521667081,5.208716386,-3.935929068,-4.626771598,1.885471586,3.721000971,0.182644559,1.336920542,8.80052941,25.11725091,4.987582437,7.221788744
Italy,1.985774903,1.538447552,0.83427547,-0.852805758,2.151023645,2.886836739,1.286369404,1.83536199,1.616076034,1.55985028,3.710106587,1.772188761,0.24854744,0.151318188,1.581938861,0.949666258,2.006586655,1.473868547,-1.050402835,-5.48205504,1.686523403,0.576623022,-2.819013779,-1.728160802,0.113673238,0.923992488,1.145512822,1.571759815
Lebanon,26.53316009,49.44737918,16.43834571,10.7656698,8.105241978,6.448862568,11.28593572,1.054966669,3.665723784,-0.525584634,1.341871619,3.839669278,3.423149827,3.227098269,6.293775446,2.748394055,1.701433991,9.340929531,9.248842241,10.05447737,8.037249555,0.9176978,2.79961407,2.652652866,1.969070862,0.243328888,1.74074199,1.529097084
Luxembourg,5.319932182,8.644190076,1.819652855,4.200648194,3.820921124,1.432200278,1.388428352,5.709717091,6.044651468,8.481002825,8.239799112,2.531974923,3.819469797,1.62928705,3.612176707,3.172442733,5.178485966,8.354553209,-1.279585572,-4.358607005,4.86496856,2.539234839,-0.35251936,3.654370385,4.296786425,3.915962767,2.411430786,1.54566061
Moldova,0,0,0,0,0,0,-5.877060161,1.647064468,-6.54219202,-3.368254442,2.107716052,6.100000281,7.799999787,6.599999906,7.39999984,7.500000095,4.799999869,3.000000199,7.8000001,-6.000000259,7.100000092,6.800000288,-0.700000153,9.400000099,4.799999749,-0.40000013,4.499999966,4.4999999
Nicaragua,-0.052499721,-0.189281555,0.386346722,-0.392936098,3.337726177,5.911907914,6.344268214,3.966650996,3.711681424,7.035970548,4.101590156,2.960843514,0.753938935,2.520732925,5.31217049,4.282398326,4.1520692,5.076352018,3.435716936,-3.292665159,4.410099117,6.316685535,6.496136543,4.927094063,4.7854602,4.768608794,4.658759192,4.861094976
Norway,1.932438869,3.084674243,3.574403308,2.845312156,5.055453526,4.153950577,5.027995447,5.284684789,2.624396894,2.013307556,3.205285075,2.085328035,1.437708805,0.919841888,3.959038032,2.624720535,2.395092468,2.985054837,0.480792154,-1.691043611,0.691663072,0.971934879,2.721626792,1.044389078,1.975117446,1.970052934,1.187354764,1.980437749
Peru,-4.982563536,2.219259103,-0.540509125,5.243577008,12.30836618,7.411395047,2.798973079,6.476824421,-0.391537556,1.494910643,2.694371398,0.617892326,5.453528938,4.165023137,4.958203206,6.285060325,7.528899044,8.518387769,9.126568301,1.095823659,8.332459107,6.327192402,6.139724706,5.852518211,2.376022873,3.251369628,3.951309192,2.528228226
Portugal,3.950523332,4.368206403,1.089476534,-2.043277034,0.96483816,4.282780446,3.496682924,4.426210354,4.791772154,3.888213395,3.787494001,1.943305224,0.76879572,-0.934205163,1.811583041,0.766784435,1.553053838,2.492002446,0.199272249,-2.9781048,1.898691176,-1.826852351,-4.028256748,-1.130155233,0.893187123,1.822066235,1.925735705,2.795047096
Russian Federation,-2.999995642,-5.046939451,-14.53107377,-8.668540341,-12.56975598,-4.143528406,-3.6,1.399999999,-5.299999999,6.4,9.999999999,5.091984231,4.743669897,7.295854331,7.175949192,6.376187027,8.153431973,8.535080209,5.247953532,-7.820885027,4.503725626,5.284885415,3.655901573,1.785354501,0.738600773,-2.828240813,-0.224910984,1.646883673
San Marino,0,0,0,0,0,0,0,0,7.512953368,8.995983936,2.210759027,5.551550108,0.341530055,3.880190606,4.587155963,2.380952381,3.855569155,7.130229817,1.650165017,-12.82467532,-4.655493482,-9.440104167,-7.54852624,-3.032659409,-0.9,0.6,2.2,1.5
Serbia,0,0,0,0,0,0,2.426155021,7.184832848,2.430456631,-12.1465874,7.759209405,4.992714031,7.115788087,4.415414059,9.046513062,5.540426974,4.904348856,5.888760078,5.366683424,-3.115971692,0.584478088,1.401465736,-1.015270388,2.571734107,-1.831301107,0.757715153,2.797323719,1.867428896
Slovenia,0,0,0,0,0,0,3.516280804,5.114380403,3.285631522,5.274353781,4.15543396,2.949365533,3.836305277,2.842083009,4.351795539,4.003007364,5.655999211,6.941645669,3.300130299,-7.797276576,1.237755909,0.649366928,-2.669582052,-1.132054981,2.979196038,2.258902398,3.14835549,5.000808222
Turkey,9.266146671,0.720279036,5.035634939,7.651265203,-4.668147364,7.878266876,7.379664474,7.577663644,2.30814592,-3.389283909,6.6401467,-5.962325223,6.430189052,5.60834204,9.644245977,9.009900523,7.109755979,5.030441454,0.845218619,-4.704445032,8.487357785,11.11349939,4.789919525,8.491316473,5.166672265,6.085899216,3.183819077,7.441233471
"Venezuela, RB",6.467940853,9.729887977,6.060473262,0.275388158,-2.349507928,3.951662724,-0.197837257,6.370931401,0.294055161,-5.970458146,3.686944167,3.394236108,-8.855647353,-7.75530005,18.28660669,10.3179138,9.872149109,8.753578808,5.277854124,-3.202302657,-1.488791251,4.176425359,5.625956975,1.343094036,-3.894386475,-4,-10,-15