Country ,Unemployment
Afghanistan,23.9
Albania,12.5
Algeria,11.2
American Samoa (United States),9.2
Andorra,3.7
Anguilla (United Kingdom),7.8
Antigua and Barbuda,11
Argentina,9.1
Armenia,20.6
Aruba (Netherlands),15.7
Australia,5
Austria,5.1
Azerbaijan,6
Bahrain,3.8
Bangladesh,4
Barbados,10.5
Belarus,5.6
Belgium,6.2
Belize,10.1
Bermuda,7
Bhutan,3.2
Bolivia,4
Bosnia and Herzegovina,20.5
Botswana,20
Brazil,13.1
British Virgin Islands (United Kingdom),2.9
Brunei,6.9
Bulgaria,5.4
Burma,4
Cambodia,0.3
Cameroon,4.4
Canada,5.6
Cape Verde,9
Cayman Islands (United Kingdom),4.2
Central African Republic,6.9
Chad,22.6
Chile,7
"China, People's Republic of",3.9
Cocos (Keeling) Islands (Australia),6.7
Colombia,9.4
Comoros,6.5
Cook Islands,13.1
Costa Rica,8.5
Croatia,8.1
Cuba,2.6
Cyprus,8.5
Czech Republic,1.9
Denmark,4.8
Djibouti,40
Dominica,23
Dominican Republic,14.4
East Timor,4.4
Ecuador,4.2
Egypt,9.9
El Salvador,7
Equatorial Guinea,8.6
Estonia,5.8
European Union,6.7
Faroe Islands (Denmark),1.2
Fiji,8.6
Finland,7.2
France,8.9
French Polynesia (France),11.7
Gabon,28
Georgia,14
Germany,3.3
Ghana,11.9
Gibraltar (United Kingdom),1.8
Greece,18
Greenland (Denmark),9.1
Grenada,24
Guam (United States),4.5
Guatemala,2.3
Guernsey (United Kingdom),1.5
Guyana,9
Honduras,5.9
Hong Kong,3.3
Hungary,3.7
Iceland,2.9
India,6.9
Indonesia,5.33
Iran,11.8
Iraq,16
Ireland,5.3
Isle of Man,1.8
Israel,3.7
Italy,10.6
Jamaica,10.4
Japan,2.4
Jersey (United Kingdom),2.7
Jordan,18.5
Kazakhstan,4.9
Kenya,7.4
Kiribati,38.2
Kosovo,26.5
Kuwait,2.1
Kyrgyzstan,7.2
Laos,1.5
Latvia,6.9
Lebanon,6.6
Lesotho,28.1
Libya,13
Liechtenstein,2.1
Lithuania,6.3
Luxembourg,5
Macau (People's Republic of China),2
Malaysia,3.5
Mali,8.1
Malta,3.7
Marshall Islands,36
Mauritania,11.7
Mauritius,6.9
Mayotte (France),25.4
Mexico,3.39
Federated States of Micronesia,16.2
Moldova,4.2
Monaco,2
Mongolia,7.3
Montenegro,14.4
Montserrat (United Kingdom),5.6
Morocco,10.7
Mozambique,24.5
Namibia,34
Nauru,23
Nepal,3
Netherlands,3.3
Netherlands Antilles (Netherlands),10
New Caledonia (France),14.7
New Zealand,3.9
Nicaragua,6.5
Nigeria,18.8
North Korea,4.8
North Macedonia,22.9
Northern Mariana Islands (United States),11.2
Norway,4
Niue,10.7
Pakistan,6
Palau,1.7
Palestine,28.45
Panama,5.5
Papua New Guinea,2.5
Paraguay,6.5
Peru,6.1
Philippines,5.5
Poland,3.8
Portugal,6.7
Puerto Rico (United States),9.3
Qatar,8.9
Romania,4
Russia,6
Rwanda,13.2
Saint Helena (United Kingdom),14
Saint Kitts and Nevis,5.1
Saint Lucia,15.7
Saint Pierre and Miquelon (France),8.7
Saint Vincent and the Grenadines,18
San Marino,8
Saudi Arabia,13.5
Senegal,48
Serbia,11.8
Sierra Leone,8.6
Singapore,2.1
Slovakia,6.6
Slovenia,5.2
South Africa,27.5
South Korea,4.9
Spain,14.45
Sri Lanka,4
Sudan,19.6
Suriname,9.1
Swaziland,28
Sweden,6.3
Switzerland,2.4
Syria,50
Taiwan,3.72
Tajikistan,2.4
Thailand,0.7
The Bahamas,10
Tonga,6.5
Trinidad and Tobago,4.5
Tunisia,15.9
Turkey,10.3
Turkmenistan,8.6
Turks and Caicos Islands,5.4
Ukraine (excluding territories in dispute),9.7
United Arab Emirates,1.6
United Kingdom,3.9
United States,3.8
Uruguay,8.5
Uzbekistan,5.8
Vanuatu,4.6
Venezuela,33.3
Vietnam,2.2
U.S. Virgin Islands (United States),9.5
Wallis and Futuna (France),12.2
Yemen,35
Zambia,15
Zimbabwe,11.3